City,Country,Date,Weather Condition,Temperature in F
Accra,Ghana,Mon 09:36 PM,Passing clouds. Warm.,84
Dublin,Ireland,Mon 09:36 PM,Drizzle. Mostly cloudy. Quite cool.,45
Nairobi,Kenya,Mon 12:36 AM,Passing clouds. Mild.,72
Addis Ababa,Ethiopia,Mon 12:36 AM,Passing clouds. Mild.,64
Edmonton,Canada,Mon 02:36 PM,Partly sunny. Chilly.,37
Nassau,Bahamas,Mon 04:36 PM,Passing clouds. Mild.,70
Adelaide,Australia,Mon 08:06 AM,Cool.,68
Frankfurt,Germany,Mon 10:36 PM,Passing clouds. Chilly.,39
New Delhi,India,Mon 03:06 AM,Fog. Cool.,57
Algiers,Algeria,Mon 10:36 PM,Passing clouds. Cool.,61
Guatemala City,Guatemala,Mon 03:36 PM,Sunny. Mild.,70
New Orleans,Usa,Mon 03:36 PM,Sunny. Refreshingly cool.,59
Almaty,Kazakstan,Mon 02:36 AM,Light snow. Overcast. Chilly.,27
Halifax,Canada,Mon 05:36 PM,Light snow. Partly sunny. Chilly.,27
New York,Usa,Mon 04:36 PM,Overcast. Cold.,11
Amman,Jordan,Mon 12:36 AM,Clear. Refreshingly cool.,59
Hanoi,Vietnam,Mon 04:36 AM,Mostly cloudy. Mild.,66
Oslo,Norway,Mon 10:36 PM,Passing clouds. Cold.,22
Amsterdam,Netherlands,Mon 10:36 PM,Passing clouds. Cool.,46
Harare,Zimbabwe,Mon 11:36 PM,Overcast. Mild.,67
Ottawa,Canada,Mon 04:36 PM,Partly sunny. Frigid.,0
Anadyr,Russia,Mon 09:36 AM,Light snow. Overcast. Cold.,12
Havana,Cuba,Mon 04:36 PM,Scattered clouds. Mild.,75
Paris,France,Mon 10:36 PM,Mostly cloudy. Cool.,46
Anchorage,Usa,Mon 12:36 PM,Overcast. Chilly.,26
Helsinki,Finland,Mon 11:36 PM,Light snow. Passing clouds. Cold.,14
Perth,Australia,Mon 05:36 AM,Clear. Mild.,68
Ankara,Turkey,Mon 12:36 AM,Sprinkles. Passing clouds. Quite cool.,45
Hong Kong,Hong Kong,Mon 05:36 AM,Passing clouds. Refreshingly cool.,61
Philadelphia,Usa,Mon 04:36 PM,Passing clouds. Cold.,15
Antananarivo,Madagascar,Mon 12:36 AM,Passing clouds. Mild.,68
Honolulu,Usa,Mon 11:36 AM,Broken clouds. Mild.,70
Phoenix,Usa,Mon 02:36 PM,Passing clouds. Pleasantly warm.,81
Asuncion,Paraguay,Mon 06:36 PM,Scattered clouds. Extremely hot.,97
Houston,Usa,Mon 03:36 PM,Sunny. Mild.,72
Prague,Czech Republic,Mon 10:36 PM,Light rain. Mostly cloudy. Chilly.,34
Athens,Greece,Mon 11:36 PM,Mild.,64
Indianapolis,Usa,Mon 04:36 PM,Scattered clouds. Chilly.,25
Reykjavik,Iceland,Mon 09:36 PM,Clear. Chilly.,34
Atlanta,Usa,Mon 04:36 PM,Sunny. Cool.,52
Islamabad,Pakistan,Mon 02:36 AM,Clear. Cool.,54
Rio De Janeiro,Brazil,Mon 06:36 PM,Thunderstorms. Mostly cloudy. Warm.,79
Auckland,New Zealand,Mon 10:36 AM,Light rain. Broken clouds. Mild.,70
Istanbul,Turkey,Mon 12:36 AM,Partly cloudy. Cool.,50
Riyadh,Saudi Arabia,Mon 12:36 AM,Passing clouds. Mild.,68
Baghdad,Iraq,Mon 12:36 AM,Overcast. Cool.,59
Jakarta,Indonesia,Mon 04:36 AM,Passing clouds. Mild.,76
Rome,Italy,Mon 10:36 PM,Passing clouds. Cool.,52
Bangkok,Thailand,Mon 04:36 AM,Passing clouds. Warm.,81
Jerusalem,Israel,Mon 11:36 PM,Cool.,59
Salt Lake City,Usa,Mon 02:36 PM,Passing clouds. Refreshingly cool.,59
Barcelona,Spain,Mon 10:36 PM,Passing clouds. Cool.,54
Johannesburg,South Africa,Mon 11:36 PM,Haze. Mild.,70
San Francisco,Usa,Mon 01:36 PM,Partly sunny. Cool.,56
Beijing,China,Mon 05:36 AM,Cold.,21
Karachi,Pakistan,Mon 02:36 AM,Clear. Cool.,61
San Juan,Puerto Rico,Mon 05:36 PM,Scattered clouds. Warm.,78
Beirut,Lebanon,Mon 11:36 PM,Passing clouds. Mild.,66
Kathmandu,Nepal,Mon 03:21 AM,Passing clouds. Cool.,54
San Salvador,El Salvador,Mon 03:36 PM,Passing clouds. Pleasantly warm.,82
Belgrade,Serbia,Mon 10:36 PM,Fog. Cool.,49
Kingston,Jamaica,Mon 04:36 PM,Warm.,78
Santiago,Chile,Mon 06:36 PM,Sunny. Hot.,90
Bengaluru,India,Mon 03:06 AM,Fog. Mild.,64
Kinshasa,Congo Demrep,Mon 10:36 PM,Clear. Warm.,81
Santo Domingo,Dominican Republic,Mon 05:36 PM,Partly sunny. Warm.,83
Berlin,Germany,Mon 10:36 PM,Fog. Chilly.,34
Kiritimati,Kiribati,Mon 11:36 AM,Passing clouds. Warm.,84
São Paulo,Brazil,Mon 06:36 PM,Light rain. Mostly cloudy. Mild.,72
Bogota,Colombia,Mon 04:36 PM,Drizzle. Partly sunny. Mild.,63
Kolkata,India,Mon 03:06 AM,Haze. Mild.,63
Seattle,Usa,Mon 01:36 PM,Light rain. Fog. Cool.,50
Boston,Usa,Mon 04:36 PM,Light snow. More clouds than sun. Cold.,22
Kuala Lumpur,Malaysia,Mon 05:36 AM,Passing clouds. Warm.,79
Seoul,South Korea,Mon 06:36 AM,Clear. Cold.,10
Brasilia,Brazil,Mon 06:36 PM,Scattered clouds. Warm.,77
Kuwait City,Kuwait,Mon 12:36 AM,Fog. Mild.,64
Shanghai,China,Mon 05:36 AM,Clear. Chilly.,30
Brisbane,Australia,Mon 07:36 AM,Cool.,69
Kyiv,Ukraine,Mon 11:36 PM,Light snow. Overcast. Cold.,22
Singapore,Singapore,Mon 05:36 AM,Passing clouds. Mild.,75
Brussels,Belgium,Mon 10:36 PM,Clear. Cool.,46
La Paz,Bolivia,Mon 05:36 PM,Thundershowers. Overcast. Cool.,54
