City,Country,Date,Weather Condition,Temperature
Accra,ghana,Sat 9:36 pm,Passing clouds. Warm.,84 °F
Dublin,ireland,Sat 9:36 pm,Drizzle. Mostly cloudy. Quite cool.,45 °F
Nairobi,kenya,Sun 12:36 am,Passing clouds. Mild.,72 °F
Addis Ababa,ethiopia,Sun 12:36 am,Passing clouds. Mild.,64 °F
Edmonton,canada,Sat 2:36 pm,Partly sunny. Chilly.,37 °F
Nassau,bahamas,Sat 4:36 pm,Passing clouds. Mild.,70 °F
Adelaide,australia,Sun 8:06 am,Cool.,68 °F
Frankfurt,germany,Sat 10:36 pm,Passing clouds. Chilly.,39 °F
New Delhi,india,Sun 3:06 am,Fog. Cool.,57 °F
Algiers,algeria,Sat 10:36 pm,Passing clouds. Cool.,61 °F
Guatemala City,guatemala,Sat 3:36 pm,Sunny. Mild.,70 °F
New Orleans,usa,Sat 3:36 pm,Sunny. Refreshingly cool.,59 °F
Almaty,kazakstan,Sun 2:36 am,Light snow. Overcast. Chilly.,27 °F
Halifax,canada,Sat 5:36 pm,Light snow. Partly sunny. Chilly.,27 °F
New York,usa,Sat 4:36 pm,Overcast. Cold.,11 °F
Amman,jordan,Sun 12:36 am,Clear. Refreshingly cool.,59 °F
Hanoi,vietnam,Sun 4:36 am,Mostly cloudy. Mild.,66 °F
Oslo,norway,Sat 10:36 pm,Passing clouds. Cold.,22 °F
Amsterdam,netherlands,Sat 10:36 pm,Passing clouds. Cool.,46 °F
Harare,zimbabwe,Sat 11:36 pm,Overcast. Mild.,67 °F
Ottawa,canada,Sat 4:36 pm,Partly sunny. Frigid.,0 °F
Anadyr,russia,Sun 9:36 am,Light snow. Overcast. Cold.,12 °F
Havana,cuba,Sat 4:36 pm,Scattered clouds. Mild.,75 °F
Paris,france,Sat 10:36 pm,Mostly cloudy. Cool.,46 °F
Anchorage,usa,Sat 12:36 pm,Overcast. Chilly.,26 °F
Helsinki,finland,Sat 11:36 pm,Light snow. Passing clouds. Cold.,14 °F
Perth,australia,Sun 5:36 am,Clear. Mild.,68 °F
Ankara,turkey,Sun 12:36 am,Sprinkles. Passing clouds. Quite cool.,45 °F
Hong Kong,hong-kong,Sun 5:36 am,Passing clouds. Refreshingly cool.,61 °F
Philadelphia,usa,Sat 4:36 pm,Passing clouds. Cold.,15 °F
Antananarivo,madagascar,Sun 12:36 am,Passing clouds. Mild.,68 °F
Honolulu,usa,Sat 11:36 am,Broken clouds. Mild.,70 °F
Phoenix,usa,Sat 2:36 pm,Passing clouds. Pleasantly warm.,81 °F
Asuncion,paraguay,Sat 6:36 pm,Scattered clouds. Extremely hot.,97 °F
Houston,usa,Sat 3:36 pm,Sunny. Mild.,72 °F
Prague,czech-republic,Sat 10:36 pm,Light rain. Mostly cloudy. Chilly.,34 °F
Athens,greece,Sat 11:36 pm,Mild.,64 °F
Indianapolis,usa,Sat 4:36 pm,Scattered clouds. Chilly.,25 °F
Reykjavik,iceland,Sat 9:36 pm,Clear. Chilly.,34 °F
Atlanta,usa,Sat 4:36 pm,Sunny. Cool.,52 °F
Islamabad,pakistan,Sun 2:36 am,Clear. Cool.,54 °F
Rio de Janeiro,brazil,Sat 6:36 pm,Thunderstorms. Mostly cloudy. Warm.,79 °F
Auckland,new-zealand,Sun 10:36 am,Light rain. Broken clouds. Mild.,70 °F
Istanbul,turkey,Sun 12:36 am,Partly cloudy. Cool.,50 °F
Riyadh,saudi-arabia,Sun 12:36 am,Passing clouds. Mild.,68 °F
Baghdad,iraq,Sun 12:36 am,Overcast. Cool.,59 °F
Jakarta,indonesia,Sun 4:36 am,Passing clouds. Mild.,76 °F
Rome,italy,Sat 10:36 pm,Passing clouds. Cool.,52 °F
Bangkok,thailand,Sun 4:36 am,Passing clouds. Warm.,81 °F
Jerusalem,israel,Sat 11:36 pm,Cool.,59 °F
Salt Lake City,usa,Sat 2:36 pm,Passing clouds. Refreshingly cool.,59 °F
Barcelona,spain,Sat 10:36 pm,Passing clouds. Cool.,54 °F
Johannesburg,south-africa,Sat 11:36 pm,Haze. Mild.,70 °F
San Francisco,usa,Sat 1:36 pm,Partly sunny. Cool.,56 °F
Beijing,china,Sun 5:36 am,Cold.,21 °F
Karachi,pakistan,Sun 2:36 am,Clear. Cool.,61 °F
San Juan,puerto-rico,Sat 5:36 pm,Scattered clouds. Warm.,78 °F
Beirut,lebanon,Sat 11:36 pm,Passing clouds. Mild.,66 °F
Kathmandu,nepal,Sun 3:21 am,Passing clouds. Cool.,54 °F
San Salvador,el-salvador,Sat 3:36 pm,Passing clouds. Pleasantly warm.,82 °F
Belgrade,serbia,Sat 10:36 pm,Fog. Cool.,49 °F
Kingston,jamaica,Sat 4:36 pm,Warm.,78 °F
Santiago,chile,Sat 6:36 pm,Sunny. Hot.,90 °F
Bengaluru,india,Sun 3:06 am,Fog. Mild.,64 °F
Kinshasa,congo-demrep,Sat 10:36 pm,Clear. Warm.,81 °F
Santo Domingo,dominican-republic,Sat 5:36 pm,Partly sunny. Warm.,83 °F
Berlin,germany,Sat 10:36 pm,Fog. Chilly.,34 °F
Kiritimati,kiribati,Sun 11:36 am,Passing clouds. Warm.,84 °F
São Paulo,brazil,Sat 6:36 pm,Light rain. Mostly cloudy. Mild.,72 °F
Bogota,colombia,Sat 4:36 pm,Drizzle. Partly sunny. Mild.,63 °F
Kolkata,india,Sun 3:06 am,Haze. Mild.,63 °F
Seattle,usa,Sat 1:36 pm,Light rain. Fog. Cool.,50 °F
Boston,usa,Sat 4:36 pm,Light snow. More clouds than sun. Cold.,22 °F
Kuala Lumpur,malaysia,Sun 5:36 am,Passing clouds. Warm.,79 °F
